query_id,query,order,threshold,file_id,table_id,id
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",76,0.6000000000000001,2303.05977v2,S5.T2,2303.05977v2_S5.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",77,0.6000000000000001,2301.10799v2,A3.T5,2301.10799v2_A3.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",78,0.6000000000000001,2305.00873,S6.T2,2305.00873_S6.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",79,0.6000000000000001,2406.15319,A1.T9.1,2406.15319_A1.T9.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",80,0.6000000000000001,2406.06679,Pt0.A1.T5,2406.06679_Pt0.A1.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",81,0.6000000000000001,2409.08498v1,A2.T14,2409.08498v1_A2.T14
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",82,0.6000000000000001,2410.13042v1,S3.T3,2410.13042v1_S3.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",83,0.6000000000000001,2303.12317,A4.T7,2303.12317_A4.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",84,0.6000000000000001,2409.08498v1,A2.T13,2409.08498v1_A2.T13
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",85,0.6000000000000001,2211.15217,S6.T2,2211.15217_S6.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",86,0.6000000000000001,2410.10089v1,S4.T6,2410.10089v1_S4.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",87,0.6000000000000001,2406.15319,S3.T1.1.1,2406.15319_S3.T1.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",88,0.6000000000000001,2406.15319,S3.T1.1.1.1.1.3.1,2406.15319_S3.T1.1.1.1.1.3.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",89,0.6000000000000001,2301.10799v2,A3.T6,2301.10799v2_A3.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",90,0.6000000000000001,2410.13042v1,S2.T2a,2410.13042v1_S2.T2a
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",91,0.6000000000000001,2408.01931v2,S5.T7,2408.01931v2_S5.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",92,0.6000000000000001,2407.05154,S2.T1.3,2407.05154_S2.T1.3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",93,0.6000000000000001,2407.05154,S2.T1.4,2407.05154_S2.T1.4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",94,0.6000000000000001,2303.05977v2,S4.T1,2303.05977v2_S4.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",95,0.6000000000000001,2408.01931v2,S5.T6,2408.01931v2_S5.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",96,0.6000000000000001,2409.17874,A3.T1.2.2,2409.17874_A3.T1.2.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",97,0.6000000000000001,2405.13018,Sx5.T3,2405.13018_Sx5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",98,0.6000000000000001,2407.05154,S4.T9.2.2,2407.05154_S4.T9.2.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",99,0.6000000000000001,2305.00873,S6.T3,2305.00873_S6.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",100,0.6000000000000001,2406.15319,S3.T6.1.1,2406.15319_S3.T6.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",101,0.6000000000000001,2410.13042v1,Sx1.T0a,2410.13042v1_Sx1.T0a
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",102,0.6000000000000001,2410.13042v1,Sx1.T0,2410.13042v1_Sx1.T0
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",103,0.6000000000000001,2208.07900,A5.T5.4,2208.07900_A5.T5.4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",104,0.6000000000000001,2208.07900,S2.E2,2208.07900_S2.E2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",105,0.6000000000000001,2409.08498v1,S4.T2,2409.08498v1_S4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",106,0.6000000000000001,2303.12317,S3.T1,2303.12317_S3.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",107,0.6000000000000001,2301.10799v2,S3.T2,2301.10799v2_S3.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",108,0.6000000000000001,2408.01931v2,S5.T4,2408.01931v2_S5.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",109,0.6000000000000001,2408.01931v2,S5.T2,2408.01931v2_S5.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",110,0.6000000000000001,2404.18961v1,S2.T6,2404.18961v1_S2.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",111,0.6000000000000001,2410.10089v1,S4.T5,2410.10089v1_S4.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",112,0.6000000000000001,2409.08498v1,S1.T1,2409.08498v1_S1.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",113,0.6000000000000001,2406.15319,S3.T3.1.1,2406.15319_S3.T3.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",114,0.6000000000000001,2410.13042v1,S2.T2,2410.13042v1_S2.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",115,0.6000000000000001,2006.05148,S4.T4,2006.05148_S4.T4
